ID;Nombre;Marca;Especie;Etapa_de_Vida;PB(%);EE(%);Ash(%);Humedad(%);FC(%);ENA(%);FC_MS (%);GE(kcal);DE(kcal);ME(kcal);Precio_USD_kg;Ingredientes (5 primeros de la lista);Fuente_PB;Fuente_EE;Fuente_FC;Otros
1;Vet life natural canine cardiac; Farmina Pet Foods;canino;Adulto;24,00;18,00;6,90;9,00;3,40;38,70;3,74;478,61;410,92;385,96;18,50;Sub-producto de arroz, harina de vísceras de aves, avena sin cáscara, aceite de pescado refinado, huevo en polvo;"harina de vísceras de aves; huevo en polvo";aceite de pescado refinado;"sub-producto de arroz; avena sin cáscara";—
2;Vet life natural canine renal; Farmina Pet Foods;Canino ;Adulto;13,30;17,00;4,60;9,00;1,60;54,50;1,76;465,62;412,94;399,11;13,63;Sub-producto de arroz, huevo en polvo, grasa de pollo, aceite de pescado refinado, semilla de linaza;huevo en polvo;"grasa de pollo; aceite de pescado refinado; semilla de linaza";sub-producto de arroz;—
3;Balan Can;Agripac;Canino;Adultos;18,00;7,00;8,00;12,00;6,00;49,00;6,82;393,90;320,83;302,11;1,29;Harina de trigo integral, maíz, salvado de trigo, arroz partido, harina de pollo;harina de pollo;—;"harina de trigo integral; maíz; salvado de trigo; arroz partido";—
4;Buen Can ;Agripac;Canino ;Adultos Razas medianas y grandes;21,00;7,00;10,00;10,00;4,00;48,00;4,44;398,70;338,27;316,43;1,36;Maíz, trigo, pasta de soya, salvado de trigo, harina de pollo;"pasta de soya; harina de pollo";—;"maíz; trigo; salvado de trigo";—
5;Alcon Dog Food Adultos Sabor A Pollo;Agripac;Canino ;Adultos;21,00;7,00;7,50;10,00;4,00;50,50;4,44;408,95;346,97;325,13;1,50;Maíz, Pasta de soya, Harma de pollo, Harina de trigo integra, Afrechillo de trigo;"pasta de soya; Harma de pollo";—;"Maíz; Harina de trigo integra; Afrechillo de trigo";—
6;Nutrapro Cachorros razas medianas y grandes;Agripac;Canino ;Cachorro ;27,00;8,00;8,00;12,00;4,00;41,00;4,55;413,60;350,32;322,24;3,80;Harina de pollo, arroz, maíz, Núcleo Nutra Pro Cachorros, Gluten de maíz,;"Harina de pollo; Gluten de maíz";—;"arroz; maíz";Núcleo Nutra Pro Cachorros
7;Nutrapro Cachorros razas pequeñas y miniaturas ;Agripac;Canino ;Cachorro ;29,00;13,00;8,00;12,00;3,00;35,00;3,41;443,30;382,68;352,52;4,56;Harina de pollo, maíz, arroz, gluten de maíz, Núcleo Nutra Pro Cachorros, ;"Harina de pollo; gluten de maíz";—;"maíz; arroz";Núcleo Nutra Pro Cachorros
8;Nutrapro Adultos razas medianas y grandes ;Agripac;Canino ;Adultos;21,00;7,00;8,00;12,00;4,00;48,00;4,55;398,70;337,70;315,86;3,45;Harina de pollo, arroz, trigo y/o subproductos, maíz, Núcleo Nutra Pro Adultos,;Harina de pollo;—;"arroz; trigo y/o subproductos; maíz";Núcleo Nutra Pro Adultos
9;Nutrapro Adultos razas pequeñas y miniaturas ;Agripac;Canino ;Adultos ;23,00;8,00;10,00;12,00;4,00;43,00;4,55;399,00;337,95;314,03;4,39;Harina de pollo, arroz, maíz, trigo y/o subproductos, Núcleo Nutra Pro Adultos;Harina de pollo;—;"arroz; maíz; trigo y/o subproductos";Núcleo Nutra Pro Adultos
10;Wellness super premium adultos razas pequeñas y medianas;Agripac;Canino ;Adultos ;28,00;10,00;9,00;10,00;4,00;39,00;4,44;429,90;364,75;335,63;9,56;Harina de salmón, harina de pollo, almidón de yuca, aceite de pollo, hidrolizado de pollo y cerdo, ;"Harina de salmón; harina de pollo; hidrolizado de pollo y cerdo";aceite de pollo;almidón de yuca;—
11;Wellness super premium adultos razas medianas y grandes ;Agripac;Canino ;Adultos ;23,00;10,00;9,00;10,00;4,00;44,00;4,44;421,90;357,96;334,04;14,00;Harina de salmón, harina de pollo, almidón de yuca, aceite de pollo, hidrolizado de pollo y cerdo, ;"Harina de salmón; harina de pollo; hidrolizado de pollo y cerdo";aceite de pollo;almidón de yuca;—
12;NutraPro;Agripac ;Canino ;Adultos razas medianas y grandes;21,00;7,00;8,00;12,00;4,00;48,00;4,55;398,70;337,70;315,86;6,50;Harina de pollo, arroz, trigo y/o subproductos, maíz, Núcleo Nutra Pro Adultos (pulpa de remolacha, levadura de cerveza, Saccharomyces cerevisiae, huevo en polvo);"Harina de pollo; huevo en polvo";—;"arroz; trigo y/o subproductos; maíz; pulpa de remolacha";"Núcleo Nutra Pro Adultos; levadura de cerveza; Saccharomyces cerevisiae"
